"objective_1","objective_2"
"33.55641437986597","-7.720548660212917"
"49.152447869449595","-7.813147747270875"
"4.882069045124695","-4.4833359983243115"
"490.143502244299","-49.83577842013964"
"509.8221723998674","-58.82331588847402"
"322.3263079066698","-16.666026561108563"
"495.5111849264358","-55.49224751025133"
"691.1489845279042","-104.01070498224044"
"783.9632960506424","-155.53767694641192"
"381.297668773841","-20.12645855187166"
"810.8175261795113","-196.71623516413032"
"411.91862115251325","-22.095744760035586"
"391.1940642923243","-20.2762889644776"
"377.944858029412","-19.79499419612996"
"374.76780924712267","-19.336134455667565"
"397.95963467634766","-20.384593278718786"
"289.4839073245239","-15.901605877994541"
"302.59348778786324","-15.918566177274386"
"857.8901124927821","-222.52093220212495"
"844.0158139027753","-212.24140269055883"
"789.1967386385368","-190.17766062705172"
"814.1713934600476","-207.47632801150698"
"812.5714522077178","-202.2600795708992"
"6.844228095930542","-4.849489180121168"
"871.7719028835908","-234.86208416588275"
"882.768174502436","-238.0606008256515"
"17.834125174930474","-5.263575308070396"
"886.600793194208","-240.96209794322567"
"20.327725227936085","-5.744723360078392"
"18.36514491138642","-5.5231912949289965"
"19.579625602159396","-5.599517890926336"
"314.87077948050137","-16.1148659329286"
"927.7346638381549","-253.83688235867217"
"288.2862028889601","-15.208363974047472"
"333.1364092410513","-16.83173880992784"
"6.209194340138723","-4.573929727317562"
"334.6092390935034","-17.47476264779179"
"365.8386947489004","-17.969225814010287"
"859.7617937047002","-226.98155894566267"
"-0.4515466687050645","-4.3138555283535425"
"463.1196626835056","-24.281301570033843"
"4.347573762947325","-4.392652673589453"
"910.8516180279839","-242.73536605198083"
"440.8372083854192","-23.062344510569762"
"435.53388388443756","-23.01380014269633"
"407.202242578244","-21.258211744567898"
"421.03795265396667","-22.659498452998452"
"922.6649402904137","-248.20539785570995"
"923.6124274983798","-253.5520448621343"
"933.9193895108571","-255.60777557272618"
"990.3642720994758","-282.5244520667414"
"969.5184468479523","-281.3257017723093"
"1033.4299709637824","-309.373667645558"
"969.4088020476338","-266.3447615265559"
"996.403648119478","-288.1946468045171"
"1008.5973685157252","-292.55032513326415"
"1058.6499844785624","-320.36000196839814"
"1015.8982542765225","-298.76524292069007"
"1041.0636577327969","-314.48723572709423"
"10.840976780270182","-4.99829101624842"
"1047.202412451923","-317.43212192086384"
"1061.307059341699","-345.29843982420545"
