"objective_1","objective_2"
"266.47559661894775","84.27948808015026"
"231.3958358441984","95.74323724375684"
"234.92229217977243","95.54982770188387"
"238.08441646002515","94.61100376613665"
"239.70747490117841","93.49920002573042"
"243.52458404525532","93.04993103568692"
"248.95018139626822","92.96955581367486"
"312.0907156482717","80.01052037456549"
"318.5401519347167","79.35681727441033"
"308.45681439163553","80.89445432682048"
"306.0878063802714","81.22108045800194"
"235.93509010514876","95.0235982399093"
"228.64067835666842","99.3136922072628"
"229.51279193009637","98.15900398686426"
"254.2051992952329","88.79741042345934"
"230.01256801687364","96.87608426834413"
"216.90978306123483","99.73998286613305"
"361.7729895379695","75.42939595397938"
"370.2842618881259","73.50040423556271"
"381.11170236717345","70.21846687197409"
"385.1262056896182","67.98498970381156"
"355.98249494178646","77.83475536479123"
"370.99927197031985","71.85757302809452"
"362.9961920934729","74.19091687827893"
"341.7618309000488","78.26166779276036"
"230.92022808964734","96.813531547252"
"387.25698144792113","65.47539573137144"
"362.25481799503905","74.36220087937534"
