"objective_1","objective_2"
"6.162733747494879","-31.292496463506154"
"5.860433286331375","-24.530618982800053"
"5.8286998395181895","-18.99258486878"
"106.47934459015546","-93.16680199510695"
"62.97920534154067","-54.226308846605"
"120.06336259852242","-107.54258952105072"
"98.217362078396","-92.38390319388994"
"108.34036165010752","-104.5319310420579"
"120.63150705476612","-110.75370215691207"
"125.54593164471869","-122.3401101931704"
"139.9918103381767","-137.83255053966423"
"137.08533537401948","-134.99989424876125"
"189.23116647034144","-158.28249721355132"
"201.31955689078072","-175.832527999289"
"192.43386558918428","-165.94795073837335"
"274.8700673893521","-243.16302659647286"
"255.60535970438286","-237.51530066836617"
"206.475151018014","-189.40581104463067"
"220.41912801983077","-214.94249208503547"
"358.03112828258116","-327.16433692003073"
"236.47397500176885","-226.64159911385832"
"355.0789622743711","-323.51670752447654"
"349.21212849771837","-321.2339251500477"
"337.9986497615173","-316.86397808613157"
"322.3608659159072","-297.00995993240093"
"314.9622991414265","-289.2545836262155"
"372.06301428207854","-340.5805974750862"
"284.976546978025","-259.93036266578684"
"303.95604316734534","-272.0690471557779"
"275.08729225439555","-255.77635672642282"
"74.72082310798457","-59.92009253918059"
"69.73829057124385","-55.656378743564346"
"72.65384700436091","-58.64003286579251"
"59.724947246132594","-49.68289522307555"
"53.496666552016826","-42.66438355728178"
"55.97553739584706","-42.885218740855635"
"57.857655223168365","-46.58148406280164"
"46.4246311659055","-38.298460235473236"
"50.307520199306964","-41.15009784754633"
"54.85612595099087","-42.68584337275805"
"392.49453135498334","-340.8725556444285"
"3.3073161425173154","-4.133703134113868"
"4.57107870610825","-4.155005832057753"
"2.934511384981903","-3.8975247762225442"
"411.373845423824","-347.61627750304615"
"2.5245363616873138","-3.8310619921971827"
"1.4781737085672042","-3.822817960479256"
"3.198455934603507","-4.006303745695836"
"405.7892513286594","-345.1509452183236"
"441.50428924370016","-361.87638853158325"
"435.40970373066375","-351.3441793746327"
"448.62855020246934","-363.1705395372519"
"358.68302580943174","-336.0547149033749"
"5.370025838575155","-5.818980420237968"
"510.51803083430667","-417.1532068065814"
"473.65446155964554","-386.3559742207569"
"15.947027266872178","-32.50551480560491"
"435.52924097709666","-361.7104899711897"
"466.1859273413623","-373.2816519782027"
"4.6009857539659516","-4.965401053592198"
"461.89370205680217","-364.4537407909993"
"497.1528733764232","-393.607762029346"
"5.19615429275414","-5.268235169199831"
