objective_1,objective_2,objective_3,objective_4
-30.40200881958008,-337.44651228319856,-31.057592228055,0.0
-47.5802490234375,15.748162098042666,-0.3067867994308472,-22.279144912958145
-45.67081069946289,-62.755348455160856,-6.687717568874359,0.0
-46.19974975585937,-3.3043292380869387,-0.579264760017395,-34.09512903690338
-41.91853790283203,-88.8860835975036,-12.129215115308762,0.0
-46.758453369140625,-52.482745224016256,0.0,-24.215628063678743
-45.29649124145508,-97.53855569316076,-1.1162827789783478,-3.1485502660274505
-31.8085994720459,18.37581994521897,-25.64625474512577,-18.781338304281235
-37.57906723022461,-7.526754319667816,-24.801076835393907,-17.0364170730114
-45.70784149169922,59.04684723272949,-16.228855562210082,-31.36869235634804
-44.21231307983398,52.31722025293857,-12.292889058589935,-35.02530423998833
-39.04469604492188,-119.61788274422288,-16.762219387292863,-0.1845489382743835
-36.177302551269534,34.064259083347864,-22.12069523334503,-19.397568619251253
-43.52688064575195,58.120213595265525,-17.257335603237152,-34.60863225460052
-41.557136154174806,41.76996271051466,-10.352706170082092,-37.2093303501606
-41.1254322052002,-8.304549274919555,-13.503035235404967,-14.911201417446136
-43.226200103759766,-0.558475102763623,-7.259371292591095,-37.11634141206741
-42.98977890014648,-10.492759593576192,-7.1205255627632145,-33.246111100912096
-47.11774063110352,37.050063264917114,-0.3459704041481018,-39.600078308582304
-46.23451461791992,55.91420506499708,-11.63835580945015,-31.38933797478676
-36.28567962646484,-196.9588040139992,-17.139993941783906,-0.8010676622390747
-47.68047256469727,-54.78832863699645,-0.6239526748657227,-2.358276957273483
-45.63459396362305,37.95743024344556,-1.1384305655956268,-41.728777998685835
-46.95232772827149,-63.91253425662872,-1.3101643323898315,-1.1942739188671112
-30.642306900024415,-197.27422656128184,-27.188882380723953,-0.3251916408538818
-27.09122200012207,-271.0853070568293,-30.16542647480965,-0.119135558605194
-25.576939010620116,-275.66149304797875,-32.99574790000916,-0.5212954878807068
-48.15447235107422,59.78998350902693,-0.470083349943161,-39.712482917308805
-45.42093734741211,30.431870947266,-7.897687351703643,-15.721175110340118
-34.914836692810056,47.68245931179772,-12.220282965898514,-45.67670223861933
-36.2252700805664,-193.73931999118068,-20.46797512173653,0.0
-35.44164123535156,38.1227857313239,-10.16955309510231,-28.028311462740383
-43.71808776855469,22.18973468625918,-2.2210628271102903,-41.92047569155693
-47.73603057861328,70.22159548600612,-13.687320858240128,-13.613202512264252
-51.92747955322265,68.39755365372984,-0.4687304735183716,-35.62467722892761
-37.98972129821777,71.29976969398558,-20.199045050144196,-35.95260474979877
-44.241240692138675,36.80675484114327,-15.68491467833519,-22.05411613583565
-51.144140625,55.47402648904826,-1.6175814628601075,-31.131238639354702
-44.78296356201171,33.548756199888885,-1.4778282940387726,-39.51625570654869
-39.21476097106934,74.7385745333042,-21.63982338309288,-32.983853781223296
-34.3312292098999,30.098643813561647,-17.164932402968407,-27.661804051697253
-43.98761978149414,16.517249814234674,-5.593660539388656,-23.283582931756975
-46.64350051879883,57.901449158327885,-6.343366712331772,-37.698660898208615
-47.29668273925781,-100.10783178377896,-0.863245153427124,-1.2147343158721924
-42.85130615234375,-60.43732125610113,-10.770275884866717,-14.685969519615174
-42.1653450012207,42.7090170102194,-12.35838080048561,-40.351708149909975
-51.55732192993164,49.43131795148365,-0.6042714595794678,-34.16170200705528
-36.0532169342041,57.88350048805587,-16.171121728420257,-39.3516180574894
-41.868769836425784,-52.85383928474039,-15.03501890897751,-14.56132150888443
-40.215375137329104,27.015709925058765,-12.59517679810524,-15.344396102428435
-41.72963104248047,52.97162701049819,-16.539019536972045,-32.65852518677711
-45.90083389282226,45.323227116279305,-10.871301382780077,-26.940428137779236
-45.39159393310547,40.70542027102783,-8.000012749433518,-37.15149881839752
-43.07201080322265,-184.67646586089396,-0.8872761905193329,-3.3346357464790346
-37.91019077301026,30.244175233386535,-13.047073417901991,-22.655873155593873
-42.42644691467285,47.12965015991358,-8.17274666428566,-42.512351578474046
-46.93677978515625,53.44160943596508,-5.060093861818314,-36.38359382152557
-41.61641845703125,2.3337140560150145,-6.929660719633103,-39.55841805934906
-33.702910804748534,-71.23536393942777,-21.783292117714883,-9.633873343467712
-42.7457763671875,52.04473645496182,-18.858152085542677,-29.659054696559902
-36.9209487915039,-73.50056479325868,-19.27491616010666,-8.732126128673553
-52.58393020629883,-12.355845760926604,-0.2716841697692871,-1.714205300807953
-35.05636558532715,-40.06305428533815,-20.610622429847716,-10.749799579381945
-38.30716209411621,49.250084912168674,-16.425181141495706,-39.30696798563004
