objective_1,objective_2,objective_3,objective_4
-14.043335437774658,1.4079161533620208,-63.77572190314531,-15.599340429902076
-51.43438720703125,-25.543093563988805,-0.851214063167572,-1.1002790808677674
-52.31666870117188,-11.540511681884528,0.0,-28.12972209453583
-45.093064880371095,-11.351602150127292,-16.020473605394365,-10.144452852010726
-34.242462921142575,37.71041326292325,-36.85819627940655,-13.886121737957
-20.98724708557129,28.588806977681816,-54.86879370510578,-21.335120967030527
-46.06401901245117,22.94676599269733,-12.08946191072464,-14.50018716454506
-48.40839767456055,-30.899247136712074,-1.184302598237991,-2.35084063410759
-28.81323127746582,-150.96983613874764,-49.60416049361229,-5.142048716545105
-31.84701614379883,-121.68525481075048,-43.138405507802965,-3.5605857133865357
-45.06706619262695,26.905686726421116,-24.708227390050887,-10.915868908166884
-31.99186134338379,-236.77031205231324,-37.21753989458084,-3.2618049055337908
-51.52297821044922,28.561333178915085,0.0,-31.9835422039032
-47.13084335327149,64.39744796244777,-29.07983120083809,-9.661340659856796
-32.39455871582031,-110.2359251268208,-39.79440252184868,-1.338947543501854
-54.65661087036133,13.456547352671624,-0.6384985089302063,-2.6756841778755187
-43.92892913818359,47.41218824153766,-31.5548733830452,-11.97537665963173
-29.592976760864257,-206.7521609778749,-70.7029535368085,0.0
-36.24367904663086,26.211331553943456,-34.00119372010231,-12.38861522078514
-39.70464096069336,25.34299665931612,-32.1848022043705,-13.065796905755995
-33.524833297729494,37.08052192118485,-48.235974577069285,-13.732934895157817
-53.65190200805664,19.054359436780217,-6.7270313739776615,0.0
-24.895160293579103,10.759056342300028,-52.378969511389734,-12.276873606443406
-34.0797233581543,-94.22338086650709,-40.893306428194045,-1.2217897117137908
-34.13437347412109,-72.42068201656221,-51.235130193829534,-1.0577433466911317
-31.279867553710936,65.26188484812215,-44.924103204698625,-16.605937560996246
-47.331329345703125,44.079221844114365,-21.353267341852188,-6.743467891216278
-29.03331890106201,-119.55138539441396,-49.29832701534033,-0.423350065946579
-26.14814224243164,-65.21284778905101,-56.28001661896705,-4.427746427059174
-51.333214569091794,59.905545346157304,-22.459067004919053,-7.723084664344787
