objective_1,objective_2,objective_3,objective_4
-24.258628209431965,10.226076684504534,-22.980172354727983,-41.3986215939561
-16.669265111287434,58.66953716909762,-32.01554729541143,-41.51940013064935
-27.331741333007812,12.130658797978237,-20.395794754227,-45.410023537348025
-10.181967417399088,57.66024977057443,-26.99153558413188,-52.051489503529105
-13.81801853577296,61.86399604202427,-30.734218162794907,-42.69429111835294
-39.54265276590983,-140.6311033531092,-27.26633637150129,-1.5421241770188014
-31.207416534423828,-111.88653603568672,-28.719632347424824,-2.8608488142490387
-37.70820999145508,25.00190411011378,-6.298886319001515,-44.56483992934227
-36.080845514933266,8.325561989409229,-8.170774549245834,-37.03034548958143
-44.52560806274414,-35.88870865665376,-1.6442115008831024,-13.879983594020208
-34.5135300954183,20.01815623914202,-13.2291110654672,-38.12866202990214
-30.74270820617676,-226.59002416658527,-38.19569150606791,-1.2536695450544355
-38.91537857055664,53.17047607103208,-13.131324579318363,-34.844925940036774
-39.874865214029946,-31.15540681472824,-12.312708109617232,-34.65154461065928
-37.29955546061198,17.003032728408773,-10.226868818203608,-39.48936539888382
-33.99190457661947,29.6707959153379,-19.222436835368473,-34.268782864014305
-37.191630045572914,-130.49752451603612,-36.51095172762871,-1.1554750402768452
-41.03160095214844,29.261119715558987,-13.65865370631218,-25.01031591494878
-41.29616038004557,26.284279188606888,-6.356600840886434,-36.52705582976341
-21.65541394551595,-148.68121957189092,-50.84008822838465,-5.279108891884486
-35.75534693400065,20.09159061529984,-12.355915755033491,-39.72049602866173
-45.34550221761068,-117.57527462330955,-0.4987479448318481,-14.965647369623184
-29.141183217366535,-270.62783077072044,-46.633980790774025,-0.9071925779183706
-35.5317014058431,24.679436785479385,-9.412293414274853,-41.97063078482946
-45.516396840413414,-149.8303955057636,0.0,-14.101908266544342
-40.74574406941732,-126.8962405094256,0.0,-19.835182696580887
-35.458197275797524,-62.031101844855584,-20.684628357489903,-16.103743036588032
-24.759817759195965,-168.9429121996897,-44.5633734613657,-1.4088452855745952
-30.555419921875,-207.70779369942224,-34.26438341538111,-2.1887903908888497
-48.09250513712565,-27.201892266670864,0.0,-18.29500671227773
-34.48300997416178,-100.26177240908146,-17.164212981859844,-21.579621464014053
-34.662754694620766,-146.2738837436773,-29.36200092236201,-1.186039278904597
-47.84355036417643,-83.20697091612965,0.0,-16.62364645799001
-44.559967041015625,63.93575990355263,-20.50907975435257,-8.571026970942816
-34.07231839497884,-44.12042860322011,-22.821802536646526,-14.21412075559298
-36.47710927327474,52.93438075696391,-17.58878944747994,-36.62979750768742
-41.94383748372396,9.174325429834424,-5.017026503880818,-35.06623818476995
-33.115086237589516,14.463896239409223,-17.797460446755093,-38.541335160533585
