objective_1,objective_2,objective_3,objective_4
-35.845831298828124,-89.11343937870114,-39.113922861218455,-21.81192775666714
-33.20047607421875,1.5909454663284124,-38.431154483556746,-26.85231659710407
-38.27461166381836,-14.112034473381936,-29.33806542158127,-25.699158987402917
-33.8899543762207,-57.94922071367037,-37.88975395560264,-26.72321947813034
-34.62808837890625,-10.325941514712758,-34.48190633356571,-28.02174844741821
-42.970706176757815,-153.7377931324765,-28.33672058582306,0.0
-44.97251815795899,43.955230503715576,-32.76515066027641,-22.14754238724709
-47.62630004882813,41.13219977254048,-14.570283955335617,-21.294728738069537
-51.273563385009766,-63.91125418497249,-0.7870467782020569,0.0
-24.031563186645503,-321.22631654925647,-71.57534748017788,0.0
-42.990675354003905,-89.64673667028546,-36.27404302358627,0.0
-52.0593978881836,68.29708524644374,-21.1794944524765,-20.550725823640825
-44.91672897338867,48.34870531968773,-21.397989296913146,-27.619688260555268
-34.03215637207031,-54.93328576814383,-45.38704087734222,-17.688935980200768
-42.56248321533203,51.208651296515015,-23.536216288805008,-25.94206247329712
-42.930721282958984,-55.27997577209025,-36.138317519426344,-0.1234580278396606
-44.41813430786133,-33.8257735228166,-28.39873352050781,0.0
-28.508948135375977,-74.30242262613028,-49.004881989955905,-21.03817771971226
-36.8167610168457,-125.56262484886685,-39.895021092891696,-0.213564121723175
-42.76379241943359,58.31394545417279,-27.353301578760146,-23.09483399391174
-39.030413436889646,-89.63368981829845,-41.783513608574864,-0.6976868629455566
-44.5302001953125,43.610698081774174,-28.101231741905213,-21.793231272697447
-30.1703125,-50.94802767185029,-50.444435393810274,-18.024154338240624
-34.49479713439941,-18.44939228799194,-56.7545432060957,-8.401915791630746
-48.63436737060547,-80.80243839267641,-7.749561148881912,0.0
-46.833308410644534,43.93235998748569,-20.127233082056044,-17.51867592930794
-43.31606750488281,-73.0679732248187,-23.121997648477553,-0.2878029823303222
-44.453244018554685,33.19796104673296,-26.56876313686371,-12.151360219717024
-50.078755950927736,8.893736667884514,0.0,-43.569594115018845
-43.60752487182617,61.24217332764529,-35.08901330828667,-20.557209700345993
-50.651248168945315,-31.65513731390238,-1.7392492651939393,-2.514805257320404
-39.15957489013672,-104.9303498528432,-32.36483605504036,-0.2998457491397858
-49.495852661132815,-101.2791565485648,0.0,-29.957393765449524
-49.404946899414064,41.19452217565849,-15.433291923999786,-26.635598134994503
-42.532311248779294,-95.11091107074172,-30.682881152629857,-0.2949982762336731
-34.17924613952637,-129.90164894685148,-43.60179713666439,0.0
-35.20705032348633,-75.73894696179778,-41.12214698791504,-22.580884262919422
-46.77155380249023,66.26423105150461,-22.457014626264577,-26.69214682579041
-35.56295318603516,-97.79960098974406,-45.19675515294075,0.0
-40.24325332641602,-24.14151769655291,-29.84227774143219,-25.68567348122597
-36.070891571044925,-135.689447972551,-42.70982834100723,0.0
-37.358547592163085,32.824333435110745,-39.28254748880863,-20.07101014852524
-34.63405570983887,-237.3128657758236,-41.58879888057709,0.0
-33.523420333862305,-40.59299800929148,-47.53422297239304,-17.691638058423997
-52.00534210205078,24.29933343522716,0.0,-24.101220095157625
-44.56139526367187,53.95529938917607,-24.0998070538044,-24.435831755399704
-41.4993782043457,-154.76110175382345,-30.055871975421905,0.0
-31.41350212097168,-90.33689801057336,-49.72029469609261,-18.18107850551605
-43.448577880859375,-52.90209075218009,-22.048436599969865,0.0
-40.73308181762695,-150.629360813275,-33.68122688531876,0.0
-40.32604904174805,-115.23869772618636,-35.69577120542526,0.0
-54.430905151367185,35.789349477540235,-16.507088899612427,-9.230679285526277
-35.53294486999512,-93.89870543137658,-41.822824186086656,-21.72058016061783
-52.40081939697266,46.196284390147774,-13.160965311527251,-15.830800664424896
-41.602159881591795,-109.28471824601291,-36.31912108659744,0.0
-33.513992118835446,-44.49341665762476,-47.36028502061963,-17.67752061635256
-42.477726745605466,-110.84738866253755,-32.23397524356842,0.0
-53.36525115966797,47.04664359670132,-20.836766010522844,-9.206530511379242
-40.16029853820801,-167.96504879724233,-33.64268736243248,0.0
-29.217309951782227,-51.2420681968797,-52.99250439107418,-17.57949425280094
-51.83650283813476,51.60156314466148,-19.122502249479293,-16.33020715713501
-31.788032913208006,-89.3241942614317,-51.32742019593716,0.0
-41.44744873046875,39.05646043475717,-30.751762324571608,-21.47607601284981
-51.066891479492185,47.058683855459094,-16.87568155527115,-24.348541224002837
-39.3491813659668,-105.64757521264256,-40.24188165068627,-0.1174073576927185
-32.29745941162109,-68.90553520190296,-49.62572456598282,-17.89369646012783
-38.10317459106445,-117.67996493913232,-37.170041161775586,0.0
-54.07770004272461,61.38607927735429,-10.789684218168258,-17.25777187347412
-27.30921630859375,-50.164925481006506,-61.65671510398388,-10.648656716942789
-46.00278549194336,44.594269574387,-19.301720023155212,-28.31289889216423
-45.72216033935547,47.072082011355086,-25.242407536506654,-24.097396862506866
-29.388940620422364,-112.23882180205548,-59.80756487697363,0.0
-45.72049407958984,39.6496082614176,-22.85178596973419,-24.602321004867555
-28.968636322021485,-6.617118357762957,-54.509832388162614,-15.655950668454173
-35.36092987060547,-99.03687571547924,-39.80771327316761,-19.96352852284908
-37.64138298034668,20.983876825376505,-26.977571421861647,-32.81876149773598
-32.45948028564453,-129.15265958621166,-44.401022490859035,-16.379542991518974
-40.40240478515625,32.93661437043765,-9.049403542280196,-9.661982774734495
