objective_1,objective_2
167.6479949951172,215.7504994869232
186.9213829040527,215.02636098861697
204.4824104309082,208.05841445922852
222.3734760284424,200.71494507789612
239.07998085021973,187.66657996177673
254.80646514892575,173.03651666641235
263.860782623291,142.7001826763153
