objective_1,objective_2
231.2498786687041,74.61541624118134
208.239893574937,93.41536227554845
210.7865173483345,92.7292388255659
229.59973901270132,75.25882220307227
229.0397606512221,79.1044278128508
224.40666255600323,86.75076066103308
207.25110629435463,93.73330989289146
221.4297503460451,88.59202494019458
227.0114612793574,79.54011276951753
211.91394483554177,91.75618678499512
217.79397590095323,91.65721852525957
225.94052228468112,84.44079770661438
238.21008056175685,70.98729892599208
238.62839630902695,66.53582031132476
219.09013638369893,90.07775035866446
239.2369989886623,64.9490143023735
240.30864320363617,62.632637590364624
231.98234001259456,72.41818793259108
229.44794426774263,75.8123437522255
239.02977878018524,65.9156531392902
240.46348277525007,62.611318134135786
238.86104973486604,66.37977092621253
244.97175782446232,60.37835823194674
245.95353678036432,56.42785179041251
235.40648570673025,71.55192286732934
241.44820036702973,60.89869944472275
262.75280712933306,47.35051972233457
258.27771053007456,51.00178925050596
264.04982090778793,43.99895384283735
261.75568703364263,50.65531094277968
206.8832027609727,94.30721197202632
157.17255818843842,138.3769147992134
