objective_1,objective_2
298.72978561161534,78.9158969265877
270.00264768410125,90.31169333875056
289.8041361127883,88.16481720412993
332.95222813801956,77.20141873207704
334.99830581881787,76.25121044393359
335.8312805824583,75.8674939021051
278.7102746059633,89.00387675114348
364.9562889725542,70.38589399834639
352.3080208434597,72.59683829654485
360.76008009129146,71.150023986021
374.23731533316214,65.92790498692379
268.38176861779357,90.73724073100918
348.6394152212306,75.51364709063112
265.30189457713277,92.86140150374985
359.02878622273664,72.13834819552187
240.1920825070847,181.48704580130777
240.6455077329495,179.8347782495257
241.0066774797233,178.49417335125327
240.39112844520665,181.2731534318858
238.6017118986565,182.43069206122163
