"objective_1","objective_2"
"240.4541575231609","73.91182401191436"
"263.8026370181712","67.35929259091161"
"271.75800544923794","65.82636823664392"
"225.50136021461367","86.13489486867896"
"238.42613154686842","83.17304715460553"
"240.3217387599434","79.21202760791554"
"278.6271140342481","59.4941114556822"
"226.98021382945444","85.6682538054935"
"238.71912419960668","80.24564874559262"
"232.15037308977966","84.6666596337041"
"247.70696388335637","73.70710552713058"
"263.62348154600477","68.60346557284508"
"258.4469017025549","71.6780179954829"
"263.3242572144809","69.06725911032305"
"281.3009462361515","58.66966669815131"
"268.91103243243805","66.18844664317612"
"276.8388938296557","59.90911969084514"
"259.12720432388113","69.47992488620541"
"260.8144802980217","69.35242454521249"
"266.60886418017134","66.86698915874548"
"276.16714182034775","65.07946152294936"
"276.61339643287164","60.17568936256595"
